,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
,The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
10,大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,10.82,住,,,1081221,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726.0,126.17,2,2,1,有,有,25800000,204486.0,坡道平面,35.84,0,,RPXNMLOJKHPFFBA18CA
12,大同區,房地(土地+建物)+車位,臺北市大同區民生西路171巷1~30號,7.07,商,,,1081208,土地2建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940414.0,80.85,2,2,1,有,有,13800000,170686.0,坡道機械,21.76,0,含增建或未登記建物。;,RPROMLOJKHPFFBA67CA
15,萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路一段91~120號,50.13,住,,,1081216,土地1建物1車位4,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031107.0,427.55,4,2,3,有,有,68800000,160917.0,坡道平面,0.0,0,,RPWNMLPJKHPFFBA18CA
16,大同區,房地(土地+建物)+車位,臺北市大同區承德路二段61~90號,20.85,商,,,1081216,土地2建物1車位1,二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060925.0,247.29,4,2,3,有,有,54000000,218367.0,坡道平面,36.25,0,,RPOOMLQJKHPFFBA57CA
18,內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段451~480號,42.81,住,,,1081207,土地4建物1車位2,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,900117.0,248.27,4,2,2,有,有,48500000,195352.0,坡道平面,0.0,0,,RPRNMLOJKHPFFCA67CA
22,中山區,房地(土地+建物)+車位,臺北市中山區五常街11巷1~30號,36.83,住,,,1081216,土地2建物1車位2,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918.0,313.49,3,2,2,有,有,69320000,269239.0,坡道平面,76.08,5400000,,RPSNMLRLKHPFFCA28CA
23,中山區,房地(土地+建物)+車位,臺北市中山區五常街11巷1~30號,36.83,住,,,1081216,土地2建物1車位2,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918.0,313.49,3,2,2,有,有,69320000,269239.0,坡道平面,76.08,5400000,,RPTNMLRLKHPFFCA38CA
35,北投區,房地(土地+建物)+車位,臺北市北投區裕民二路31~60號,16.35,商,,,1081207,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950630.0,175.94,3,2,2,有,有,33680000,191429.0,坡道平面,42.09,0,含增建或未登記建物。;,RPSNMLOJKHPFFEA97CA
37,士林區,房地(土地+建物),臺北市士林區福國路91~120號,15.76,商,,,1081118,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,680503.0,118.92,3,2,2,有,有,20550000,172805.0,,0.0,0,含增建或未登記建物。;,RPVNMLOJKHPFFEA28CA
39,北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,21.9,住,,,1081222,土地1建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725.0,188.35,3,2,2,有,有,31000000,191104.0,坡道平面,38.17,2300000,,RPVOMLOJKHPFFEA38CA
45,士林區,房地(土地+建物)+車位,臺北市士林區基河路1~30號,57.62,商,,,1081125,土地1建物1車位2,六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041104.0,414.76,0,0,0,無,有,77120000,211524.0,坡道平面,64.36,3000000,毛胚屋,RPSOMLPKKHPFFEA28CA
57,大安區,房地(土地+建物),臺北市大安區仁愛路四段421~450號,17.31,住,,,1081217,土地2建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,770504.0,145.88,2,2,2,有,有,48000000,329038.0,,0.0,0,含增建或未登記建物。;,RPWOMLPJKHPFFFA68CA
65,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段296巷1~30號,25.5,住,,,1081229,土地1建物1車位1,七層，電梯樓梯間,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850628.0,154.09,3,2,2,有,有,25580000,207126.0,坡道平面,42.65,2500000,含增建或未登記建物。,RPVNMLSJKHPFFCA58DA
80,松山區,房地(土地+建物),臺北市松山區南京東路五段211~240號,6.46,其他,,,1080904,土地1建物1車位0,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980331.0,80.82,2,2,1,有,有,19750000,244370.0,,0.0,0,含增建或未登記建物。,RPXOMLNKKHPFFDA58DA
85,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段691~720號,27.62,商,,,1081208,土地1建物1車位3,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001028.0,340.15,3,2,3,有,有,62280000,227492.0,坡道平面,99.35,7500000,含增建或未登記建物。,RPVRMLRJKHPFFCA88DA
88,文山區,房地(土地+建物)+車位,臺北市文山區久康街24巷1~30號,29.24,商,,,1081205,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970902.0,279.17,4,2,2,有,有,36500000,159988.0,坡道平面,77.28,4200000,含增建或未登記建物。,RPRNMLKLKHPFFAA37DA
89,大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.29,住,,,1081123,土地4建物1車位2,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910.0,222.43,3,2,2,有,有,52600000,355650.0,坡道平面,90.84,5800000,親友、員工或其他特殊關係間之交易。;土地及建物分次登記案件。前案土地登記收件字號：;,RPRNMLTLKHPFFFA68CA
90,大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.29,住,,,1081123,土地4建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910.0,177.0,3,2,2,有,有,49000000,350331.0,坡道平面,45.42,2900000,親友、員工或其他特殊關係間之交易。;土地及建物分次登記案件。前案土地登記收件字號：;,RPSNMLTLKHPFFFA78CA
91,大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.11,住,,,1081130,土地4建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910.0,169.64999999999995,3,2,2,有,有,48500000,351012.0,坡道平面,39.18,2700000,親友、員工或其他特殊關係間之交易。;,RPTNMLTLKHPFFFA88CA
92,大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.29,住,,,1081123,土地4建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910.0,177.0,3,2,2,有,有,49000000,350331.0,坡道平面,45.42,2900000,親友、員工或其他特殊關係間之交易。;,RPUNMLTLKHPFFFA98CA
93,文山區,房地(土地+建物)+車位,臺北市文山區木柵路二段100巷1~30號,34.38,商,,,1081222,土地1建物1車位1,四層，五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,900503.0,205.41000000000003,4,2,2,有,有,27000000,152737.0,坡道平面,41.73,2000000,含增建或未登記建物。,RPQPMLOJKHPFFAA67DA
96,大安區,房地(土地+建物)+車位,臺北市大安區和平東路一段91~120號,37.64,商,,,1081105,土地1建物1車位2,九層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031224.0,569.03,1,2,5,有,有,223500000,420551.0,坡道平面,53.04,6500000,,RPUNMLNKKHPFFFA28CA
97,大安區,房地(土地+建物)+車位,臺北市大安區和平東路一段91~120號,38.1,商,,,1081105,土地1建物1車位3,十三層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031224.0,608.0699999999998,1,2,5,有,有,239500000,445736.0,坡道平面,92.07,9500000,,RPVNMLNKKHPFFFA38CA
115,松山區,房地(土地+建物),臺北市松山區南京東路五段31~60號,12.46,其他,,,1081213,土地1建物1車位0,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790216.0,150.38,3,2,2,有,有,29500000,196170.0,,0.0,0,含增建或未登記建物。;,RPUOMLPKKHPFFDA38CA
116,中山區,房地(土地+建物)+車位,臺北市中山區林森北路481~510號,4.7,商,,,1090115,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,920122.0,63.03,2,1,1,有,有,10280000,163097.0,坡道機械,0.0,0,,RPQRMLMKKHPFFCA87CA
120,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段1~30號,28.42,住,,,1081004,土地2建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071109.0,251.03,3,2,2,有,有,68820000,338981.0,坡道平面,67.48,6600000,,RPUPMLOLKHPFFCA38CA
121,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段1~30號,31.03,住,,,1081004,土地2建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071109.0,267.78,3,2,2,有,有,69900000,316026.0,坡道平面,67.48,6600000,,RPWPMLOLKHPFFCA58CA
128,南港區,房地(土地+建物)+車位,臺北市南港區經貿二路157巷31~60號,49.35,住,,,1081210,土地1建物1車位2,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010716.0,314.8300000000001,4,2,2,有,有,73000000,231871.0,坡道平面,41.66,0,,RPPNMLPJKHPFFDA67CA
139,萬華區,房地(土地+建物)+車位,臺北市萬華區長沙街二段121~150號,15.97,商,,,1090104,土地2建物1車位2,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304.0,238.96,3,2,2,有,有,36150000,202963.0,坡道平面,83.02,4500000,1.本案因賣方需辦理車位調整後再行移轉，故公契及私契立契日不同，本申報立契日為私契日期。2.建物清冊公設內含車位面積。,RPUOMLNKKHPFFBA97CA
143,萬華區,房地(土地+建物)+車位,臺北市萬華區漢口街二段31~60號,7.81,商,,,1090110,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010530.0,120.97,2,2,1,有,有,21500000,177730.0,升降機械,0.0,0,,RPRNMLKKKHPFFBA27CA
1,西區,房地(土地+建物),臺中市西區民權路181~210號,7.42,商,,,1081228,土地3建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720819.0,99.12,2,2,1,有,有,3550000,35815.0,,0.0,0,含增建或未登記建物。,RPPPMLOJKHPFFAB57CA
13,西區,房地(土地+建物),臺中市西區樂群街271~300號,21.41,住,,,1081216,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820909.0,162.01999999999995,3,2,2,有,無,9280000,57277.0,,0.0,0,,RPOPMLLLKHPFFAB37CA
22,北屯區,房地(土地+建物)+車位,臺中市北屯區軍福七路151~180號,22.17,住,,,1081219,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031106.0,196.34,3,2,2,有,有,13300000,67740.0,坡道平面,27.53,0,,RPPPMLNJKHPFFBB57CA
28,北屯區,房地(土地+建物)+車位,臺中市北屯區軍和街1~30號,24.92,住,,,1090112,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,801226.0,174.79,3,2,2,有,有,7660000,43822.0,坡道平面,37.0,0,,RPXOMLQJKHPFFBB58CA
30,北區,房地(土地+建物),臺中市北區健行路421~450號,3.96,住,,,1090110,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840526.0,33.730000000000004,1,0,1,有,有,1640000,48621.0,,0.0,0,,RPOPMLRJKHPFFBB87CA
54,西屯區,房地(土地+建物)+車位,臺中市西屯區黎明路三段151~180號,47.35,住,,,1090114,土地2建物1車位3,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021016.0,448.35,3,2,4,有,有,36500000,81410.0,坡道平面,86.43,0,,RPXNMLPJKHPFFCB48CA
60,南屯區,房地(土地+建物)+車位,臺中市南屯區黎明路二段421~450號,12.93,住,,,1081217,土地1建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840919.0,136.18,3,2,2,有,有,8500000,62417.0,坡道機械,0.0,800000,,RPWOMLRJKHPFFCB68CA
62,南屯區,房地(土地+建物)+車位,臺中市南屯區大業路541~570號,17.71,住,,,1090108,土地1建物1車位2,十四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871113.0,228.13,4,2,2,有,有,16560000,72590.0,坡道平面,34.71,0,,RPPQMLRJKHPFFCB18CA
65,西屯區,房地(土地+建物)+車位,臺中市西屯區工業區一路91~120號,12.24,住,,,1081213,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830614.0,127.31,3,2,2,有,有,6880000,54041.0,坡道平面,0.0,1200000,,RPUOMLLKKHPFFCB97CA
170,潭子區,房地(土地+建物)+車位,臺中市潭子區中山路一段121~150號,11.16,住,,,1081220,土地1建物2車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821111.0,109.75,3,2,1,有,有,5000000,45554.0,坡道機械,0.0,0,,RPPNMLRJKHPFFHB38CA
204,西屯區,房地(土地+建物)+車位,臺中市西屯區弘孝路61~90號,18.46,住,,,1081221,土地2建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,910128.0,181.89,3,2,2,有,有,16000000,87965.0,坡道平面,27.73,0,,RPSNMLKLKHPFFCB67CA
205,南屯區,房地(土地+建物)+車位,臺中市南屯區永春東一路691~720號,29.44,住,,,1090105,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970627.0,265.82,4,2,2,有,有,21200000,86439.0,坡道平面,50.64,2600000,,RPOOMLKLKHPFFCB37CA
206,南屯區,房地(土地+建物)+車位,臺中市南屯區忠勇路31~60號,14.51,住,,,1081226,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010926.0,155.04,3,2,2,有,有,9000000,58926.0,坡道平面,22.67,1200000,,RPPOMLKLKHPFFCB47CA
222,南屯區,房地(土地+建物)+車位,臺中市南屯區公益路二段511~540號,15.34,住,,,1081226,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950303.0,179.74,3,2,2,有,有,13850000,77056.0,坡道機械,13.25,0,,RPTQMLNKKHPFFCB28CA
227,西屯區,房地(土地+建物)+車位,臺中市西屯區惠中路一段121~150號,22.06,商,,,1081207,土地1建物1車位2,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960702.0,300.02,3,2,2,有,有,27500000,91661.0,坡道平面,37.4,0,,RPSNMLKKKHPFFCB57CA
236,西屯區,房地(土地+建物)+車位,臺中市西屯區惠中路一段121~150號,33.63,其他,,,1081123,土地1建物1車位2,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960702.0,373.24,3,2,3,有,有,27600000,73947.0,坡道平面,51.02,0,,RPPNMLQJKHPFFCB77CA
237,西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路211~240號,11.87,住,,,1090104,土地1建物1車位1,八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031113.0,135.42000000000002,2,2,2,有,有,9010000,66534.0,坡道平面,40.26,0,,RPVNMLQJKHPFFCB38CA
242,北屯區,房地(土地+建物),臺中市北屯區東光路724巷1~30號,9.07,住,,,1081124,土地2建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830512.0,76.88,2,2,1,有,有,3860000,50208.0,,0.0,0,含增建或未登記建物。;,RPXSMLOLKHPFFBB98CA
247,北屯區,房地(土地+建物)+車位,臺中市北屯區崇德五路146巷1~30號,27.67,住,,,1081230,土地1建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,801207.0,206.89,4,2,2,有,有,10000000,48335.0,坡道平面,0.0,0,,RPROMLSKKHPFFBB28CA
248,北區,房地(土地+建物)+車位,臺中市北區興進路181~210號,16.08,住,,,1090101,土地1建物1車位2,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831013.0,206.31,4,2,2,有,有,11800000,57195.0,坡道機械,0.0,0,,RPOQMLSKKHPFFBB18CA
251,北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路二段181~210號,22.58,住,,,1081230,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961231.0,204.93,4,2,2,有,有,15000000,73196.0,坡道平面,20.0,0,,RPQOMLRKKHPFFBB08CA
253,北屯區,房地(土地+建物)+車位,臺中市北屯區水景街121~150號,18.3,住,,,1081124,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031021.0,107.29,2,2,1,有,有,6050000,56389.0,坡道機械,17.91,0,,RPUOMLNKKHPFFBB08CA
264,北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十六路271~300號,15.26,商,,,1081216,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030603.0,170.62,3,2,2,有,有,8900000,52163.0,坡道平面,30.97,0,,RPVSMLKKKHPFFBB28CA
275,南區,房地(土地+建物),臺中市南區忠明南路721~750號,11.85,住,,,1081221,土地1建物1車位0,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831014.0,129.51,3,2,1,有,有,5920000,45711.0,,0.0,0,,RPPOMLPLKHPFFAB77CA
283,南區,房地(土地+建物),臺中市南區學府路181~210號,5.42,住,,,1081225,土地2建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831207.0,71.41,2,1,1,有,有,3350000,46912.0,,0.0,0,,RPTOMLNKKHPFFAB87CA
284,南區,房地(土地+建物)+車位,臺中市南區柳川東路一段91~120號,13.76,其他,,,1081101,土地1建物1車位1,十九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,881012.0,170.25,3,2,2,有,有,11330000,68519.0,坡道機械,16.57,800000,含增建或未登記建物。,RPOPMLOKKHPFFAB57CA
285,西區,房地(土地+建物)+車位,臺中市西區三民路一段31~60號,8.68,住,,,1090117,土地2建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840113.0,108.65,3,2,2,有,有,5200000,47860.0,坡道機械,0.0,0,,RPTOMLMKKHPFFAB77CA
287,東區,房地(土地+建物)+車位,臺中市東區十甲巷30弄31~60號,27.5,住,,,1081221,土地2建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810508.0,152.7,3,2,2,有,有,6300000,41257.0,坡道平面,0.0,0,,RPSOMLKKKHPFFAB47CA
290,西區,房地(土地+建物),臺中市西區三民路一段31~60號,6.96,住,,,1081217,土地2建物1車位0,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840113.0,85.65,2,1,1,有,有,4400000,51372.0,,0.0,0,,RPRPMLKKKHPFFAB47CA
304,南區,房地(土地+建物),臺中市南區文心南路541~570號,13.05,住,,,1081219,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871015.0,123.53,3,2,2,有,有,6600000,53428.0,,0.0,0,,RPPPMLKLKHPFFAB37CA
312,北屯區,房地(土地+建物)+車位,臺中市北屯區河北三街1~30號,24.84,住,,,1081125,土地1建物1車位2,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010630.0,257.04,3,2,2,有,有,17500000,68083.0,坡道平面,67.44,0,,RPVOMLQJKHPFFBB38CA
323,北屯區,房地(土地+建物)+車位,臺中市北屯區水景街121~150號,25.36,住,,,1081227,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031021.0,159.68,3,2,2,有,有,8900000,55736.0,坡道平面,0.0,0,,RPTOMLRJKHPFFBB28CA
326,北區,房地(土地+建物)+車位,臺中市北區漢口路三段61~90號,14.5,住,,,1081122,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,881124.0,159.6,3,2,2,有,有,9500000,59524.0,坡道平面,20.27,0,,RPRNMLRJKHPFFBB97CA
330,北屯區,房地(土地+建物)+車位,臺中市北屯區梅川東路四段91~120號,12.83,住,,,1081205,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840609.0,159.36,3,2,2,有,有,9000000,56476.0,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLNKKHPFFBB67CA
331,北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路181~210號,12.21,商,,,1081228,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830208.0,130.22,4,2,2,有,有,6300000,48380.0,坡道機械,0.0,0,,RPXRMLMKKHPFFBB58CA
335,北區,房地(土地+建物),臺中市北區中清路一段61~90號,2.6,商,,,1090104,土地2建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850601.0,32.63,1,1,1,有,有,1900000,58229.0,,0.0,0,,RPVOMLSKKHPFFBB68CA
344,南屯區,房地(土地+建物)+車位,臺中市南屯區公益路二段601~630號,12.85,住,,,1081113,土地1建物1車位1,九層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860715.0,179.69,3,2,2,有,有,12080000,67227.0,坡道平面,23.51,0,,RPQPMLKKKHPFFCB57CA
346,西屯區,房地(土地+建物)+車位,臺中市西屯區東興路三段301~330號,17.01,住,,,1090103,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830707.0,159.32,4,2,2,有,有,11560000,72558.0,坡道平面,0.0,1500000,含增建或未登記建物。,RPPOMLNKKHPFFCB67CA
347,西屯區,房地(土地+建物)+車位,臺中市西屯區青海路二段601~630號,37.61,住,,,1081005,土地1建物1車位2,二十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020808.0,320.0,4,2,3,有,有,30880000,96500.0,坡道平面,52.28,0,,RPRQMLPKKHPFFCB28CA
348,南屯區,房地(土地+建物)+車位,臺中市南屯區忠勇路31~60號,14.51,住,,,1081231,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010926.0,155.04,3,2,2,有,有,9450000,60952.0,坡道平面,22.67,0,,RPRSMLQLKHPFFCB68CA
350,西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路211~240號,12.17,住,,,1090108,土地1建物1車位2,十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031113.0,137.32999999999998,2,2,2,有,有,8650000,62987.0,坡道機械,40.42,0,,RPPQMLRLKHPFFCB38CA
388,潭子區,房地(土地+建物),臺中市潭子區榮興街1~30號,17.84,住,,,1081212,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840524.0,117.85,3,2,2,有,有,6760000,57361.0,,0.0,0,,RPVNMLQLKHPFFHB09CA
543,西屯區,房地(土地+建物)+車位,臺中市西屯區惠來路三段181~210號,19.32,住,,,1081205,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951219.0,222.69,3,2,2,有,有,17300000,77660.0,坡道平面,46.28,3600000,含增建或未登記建物。,RPPNMLMLKHPFFCB57CA
554,南屯區,房地(土地+建物)+車位,臺中市南屯區豐富路181~210號,32.36,商,,,1081220,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980330.0,317.7100000000001,4,2,2,有,有,23000000,72393.0,坡道平面,59.18,0,,RPVPMLLKKHPFFCB18CA
556,西屯區,房地(土地+建物)+車位,臺中市西屯區上石路181巷1~30號,18.64,商,,,1081223,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961012.0,198.46,3,2,2,有,有,15880000,80016.0,坡道平面,26.49,0,,RPSPMLKKKHPFFCB77CA
559,南屯區,房地(土地+建物)+車位,臺中市南屯區黎明路二段421~450號,13.6,住,,,1081221,土地1建物2車位1,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840919.0,143.07,3,2,2,有,有,8050000,56266.0,坡道平面,0.0,0,,RPTNMLKKKHPFFCB67CA
563,西屯區,房地(土地+建物)+車位,臺中市西屯區華美西街二段211~240號,13.93,住,,,1081230,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851029.0,137.74,3,2,2,有,有,7700000,55902.0,坡道機械,11.59,0,,RPUQMLRJKHPFFCB68CA
564,西屯區,房地(土地+建物)+車位,臺中市西屯區工業區一路61~90號,18.32,住,,,1090106,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981106.0,181.53,3,2,2,有,有,12800000,75337.0,坡道平面,24.9,1000000,,RPQNMLSJKHPFFCB08CA
565,西屯區,房地(土地+建物)+車位,臺中市西屯區西安街277巷1~30號,28.32,住,,,1081221,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840418.0,185.36,5,0,5,有,有,10050000,54219.0,坡道機械,0.0,0,,RPPPMLRJKHPFFCB08CA
578,北屯區,房地(土地+建物)+車位,臺中市北屯區瀋陽路二段151~180號,11.42,住,,,1081220,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961231.0,113.47,2,2,1,有,有,8660000,76320.0,坡道平面,20.0,0,,RPQNMLTKKHPFFBB18CA
579,北屯區,房地(土地+建物)+車位,臺中市北屯區崇德十五路1~30號,20.58,商,,,1081129,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020716.0,228.47000000000003,4,2,2,有,有,14080000,61627.0,坡道平面,34.35,0,,RPPPMLRKKHPFFBB08CA
589,北屯區,房地(土地+建物)+車位,臺中市北屯區河北三街31~60號,20.71,商,,,1081221,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020416.0,192.83,3,2,2,有,有,15300000,81212.0,坡道平面,19.2,1200000,,RPXPMLLKKHPFFBB28CA
