,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
,The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
298,土城區,房地(土地+建物),新北市土城區裕民路211~240號,9.61,住,,,1081220,土地1建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860526.0,74.12,2,2,1,有,有,8700000,117377.0,,0.0,0,含增建或未登記建物。;,RPVNMLQJKHPFFAF58CA
301,板橋區,房地(土地+建物),新北市板橋區民生路三段301~330號,2.66,住,,,1081214,土地1建物1車位0,三十七層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,950914.0,77.45,1,2,1,有,有,10080000,130165.0,,0.0,0,含增建或未登記建物。;,RPSPMLQJKHPFFAF48CA
303,板橋區,房地(土地+建物)+車位,新北市板橋區中正路331~360號,19.42,住,,,1090104,土地1建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830531.0,152.57,3,2,2,有,有,15100000,98971.0,坡道平面,36.0,0,含增建或未登記建物。;,RPXQMLQJKHPFFAF09CA
306,林口區,房地(土地+建物)+車位,新北市林口區忠孝三路31~60號,41.9,住,,,1081211,土地1建物1車位2,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971208.0,323.93,4,2,2,有,有,25750000,79492.0,坡道平面,0.0,0,,RPQPMLPJKHPFFBF28CA
307,新莊區,房地(土地+建物),新北市新莊區新北大道七段301~330號,3.48,其他,,,1081223,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931126.0,45.74,1,1,1,有,有,4650000,101662.0,,0.0,0,,RPTTMLPJKHPFFBF98CA
322,泰山區,房地(土地+建物)+車位,新北市泰山區仁義路181~210號,11.86,商,,,1081214,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931126.0,134.86,3,2,2,有,有,11650000,86386.0,坡道平面,24.27,0,含增建或未登記建物。;,RPRQMLOKKHPFFBF48CA
327,新莊區,房地(土地+建物),新北市新莊區昌平街59巷31~60號,8.46,住,,,1081226,土地1建物1車位0,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840713.0,72.81,2,1,1,有,有,7380000,101360.0,,0.0,0,,RPWOMLNKKHPFFBF68CA
332,林口區,房地(土地+建物)+車位,新北市林口區中山路511~540號,15.03,商,,,1081225,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960927.0,156.68,3,2,2,有,有,9300000,59357.0,坡道平面,32.43,0,,RPSRMLTKKHPFFBF56CA
336,新店區,房地(土地+建物)+車位,新北市新店區新坡一街61~90號,54.96,,山坡地保育區,丙種建築用地,1090108,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840704.0,132.16,3,2,1,有,有,10550000,79827.0,坡道平面,31.11,0,,RPOOMLPJKHPFFCF08CA
337,新店區,房地(土地+建物)+車位,新北市新店區寶橋路78巷91~120號,15.58,住,,,1081222,土地1建物1車位1,二十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020829.0,188.06,3,2,2,有,有,28980000,154100.0,坡道平面,26.42,0,含增建或未登記建物。;,RPWNMLQJKHPFFCF88CA
339,新店區,房地(土地+建物)+車位,新北市新店區中正路481~510號,9.46,其他,,,1081214,土地2建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880406.0,143.81,3,2,1,有,有,15800000,109867.0,坡道平面,45.74,0,含增建或未登記建物。;,RPOOMLQJKHPFFCF18CA
340,新店區,房地(土地+建物),新北市新店區溪園路361~390號,7.01,住,,,1090102,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,921201.0,58.34,1,1,1,有,有,8650000,148269.0,,0.0,0,,RPQOMLQJKHPFFCF38CA
342,新店區,房地(土地+建物)+車位,新北市新店區中興路二段121~150號,17.51,住,,,1081122,土地1建物1車位1,十三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,980612.0,206.34,4,2,2,有,有,23550000,114132.0,坡道平面,34.84,0,,RPVOMLQJKHPFFCF88CA
347,新店區,房地(土地+建物)+車位,新北市新店區中正路700巷1~30號,26.97,住,,,1081102,土地1建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890225.0,160.71,3,2,2,有,有,16000000,99558.0,坡道平面,0.0,0,含增建或未登記建物。;,RPXNMLRJKHPFFCF09CA
369,八里區,房地(土地+建物),新北市八里區中華路二段511~540號,14.33,住,,,1090105,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840715.0,125.11,2,2,2,有,有,6000000,47958.0,,0.0,0,含增建或未登記建物。;,RPOOMLQJKHPFFEF38CA
377,汐止區,房地(土地+建物)+車位,新北市汐止區大同路二段241~270號,14.71,住,,,1081219,土地1建物1車位1,十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223.0,179.76999999999995,3,2,2,有,有,20200000,112366.0,坡道平面,22.93,0,,RPQNMLTJKHPFFDF68CA
379,汐止區,房地(土地+建物)+車位,新北市汐止區汐萬路二段228巷31弄1~30號,42.26,,山坡地保育區,丙種建築用地,1090103,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850627.0,127.22,2,1,1,有,有,4500000,35372.0,坡道平面,0.0,0,,RPOPMLQJKHPFFDF38CA
380,汐止區,房地(土地+建物)+車位,新北市汐止區工建路91~120號,29.47,住,,,1081227,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981120.0,209.73,4,2,2,有,有,21800000,103943.0,坡道平面,24.23,0,,RPRNMLRJKHPFFDF58CA
382,淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段31~60號,24.87,住,,,1081203,土地1建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222.0,167.31,3,21,2,有,有,11840000,74074.0,坡道平面,25.02,1300000,,RPRPMLLKKHPFFEF38CA
383,淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段91~120號,21.13,住,,,1081209,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051020.0,163.05,3,2,2,有,有,10500000,64397.0,坡道平面,29.19,0,,RPSQMLRLKHPFFEF66CA
398,三重區,房地(土地+建物)+車位,新北市三重區集賢路91~120號,24.62,住,,,1081230,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980722.0,151.67000000000004,3,2,2,有,有,17800000,117360.0,坡道平面,31.59,0,,RPROMLQJKHPFFGF88CA
422,中和區,房地(土地+建物),新北市中和區華新街143巷106弄31~60號,20.15,住,,,1081216,土地1建物1車位0,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850522.0,91.73,1,1,1,有,有,8500000,92663.0,,0.0,0,,RPUNMLSKKHPFFHF86CA
428,中和區,房地(土地+建物)+車位,新北市中和區南山路151~180號,9.57,住,,,1081215,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950623.0,102.57,2,2,1,有,有,13250000,129180.0,坡道平面,23.82,0,,RPQNMLOLKHPFFHF78CA
432,三峽區,房地(土地+建物)+車位,新北市三峽區國慶路121~150號,15.53,住,,,1081224,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951208.0,122.09,2,1,1,有,有,8300000,67983.0,坡道平面,38.32,0,,RPPPMLNKKHPFFIF78CA
433,三峽區,房地(土地+建物),新北市三峽區大同路181~210號,12.12,住,,,1081210,土地1建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841129.0,125.4,3,2,2,有,有,7850000,62600.0,,0.0,0,,RPRPMLNKKHPFFIF98CA
435,中和區,房地(土地+建物)+車位,新北市中和區中正路1~30號,7.32,住,,,1090105,土地3建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871103.0,139.67000000000002,2,2,1,有,有,15850000,113482.0,坡道平面,0.0,0,,RPXNMLOKKHPFFHF76CA
437,樹林區,房地(土地+建物)+車位,新北市樹林區佳園路三段511~540號,18.32,住,,,1081228,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970125.0,141.72,3,2,2,有,有,10700000,75501.0,坡道平面,30.26,0,,RPUOMLTKKHPFFIF17CA
